,Date,Tempreal,Tempmean,Location
3770,2011-01-01,36.7,27.0,BadgerysCreek
3771,2011-01-02,29.6,26.7,BadgerysCreek
3772,2011-01-03,17.6,26.5,BadgerysCreek
3773,2011-01-04,21.3,25.9,BadgerysCreek
3774,2011-01-05,26.5,25.7,BadgerysCreek
3775,2011-01-06,25.8,25.8,BadgerysCreek
3776,2011-01-07,23.2,26.1,BadgerysCreek
3777,2011-01-08,26.8,26.3,BadgerysCreek
3778,2011-01-09,28.4,26.6,BadgerysCreek
3779,2011-01-10,25.6,26.5,BadgerysCreek
3780,2011-01-11,23.7,26.1,BadgerysCreek
3781,2011-01-12,27.8,26.0,BadgerysCreek
3782,2011-01-13,27.6,26.2,BadgerysCreek
3783,2011-01-14,29.2,26.1,BadgerysCreek
3784,2011-01-15,27.8,25.9,BadgerysCreek
3785,2011-01-16,30.1,25.6,BadgerysCreek
3786,2011-01-17,28.2,25.8,BadgerysCreek
3787,2011-01-18,25.7,26.3,BadgerysCreek
3788,2011-01-19,27.3,26.4,BadgerysCreek
3789,2011-01-20,27.8,26.4,BadgerysCreek
3790,2011-01-21,30.5,26.4,BadgerysCreek
3791,2011-01-22,,26.8,BadgerysCreek
3792,2011-01-23,,27.2,BadgerysCreek
3793,2011-01-24,29.2,27.5,BadgerysCreek
3794,2011-01-25,33.1,27.3,BadgerysCreek
3795,2011-01-26,35.4,27.2,BadgerysCreek
3796,2011-01-27,35.5,27.9,BadgerysCreek
3797,2011-01-28,26.4,28.7,BadgerysCreek
3798,2011-01-29,26.5,29.3,BadgerysCreek
3799,2011-01-30,34.6,29.7,BadgerysCreek
3800,2011-01-31,39.2,30.0,BadgerysCreek
3801,2011-02-01,40.9,30.3,BadgerysCreek
3802,2011-02-02,37.2,30.3,BadgerysCreek
3803,2011-02-03,37.9,28.8,BadgerysCreek
3804,2011-02-04,37.6,27.7,BadgerysCreek
3805,2011-02-05,40.2,26.6,BadgerysCreek
3806,2011-02-06,23.2,25.9,BadgerysCreek
3807,2011-02-07,23.2,25.5,BadgerysCreek
3808,2011-02-08,25.2,25.2,BadgerysCreek
3809,2011-02-09,24.3,24.5,BadgerysCreek
3810,2011-02-10,30.2,24.8,BadgerysCreek
3811,2011-02-11,35.4,25.0,BadgerysCreek
3812,2011-02-12,21.5,25.4,BadgerysCreek
3813,2011-02-13,21.8,25.7,BadgerysCreek
3814,2011-02-14,19.9,25.4,BadgerysCreek
3815,2011-02-15,23.6,25.4,BadgerysCreek
3816,2011-02-16,26.3,26.0,BadgerysCreek
3817,2011-02-17,29.8,26.2,BadgerysCreek
3818,2011-02-18,26.9,26.1,BadgerysCreek
3819,2011-02-19,36.8,25.6,BadgerysCreek
3820,2011-02-20,35.5,25.3,BadgerysCreek
3821,2011-02-21,26.0,25.4,BadgerysCreek
3822,2011-02-22,22.4,25.7,BadgerysCreek
3823,2011-02-23,25.5,26.0,BadgerysCreek
3824,2011-02-24,29.7,26.1,BadgerysCreek
3825,2011-02-25,31.4,26.4,BadgerysCreek
3826,2011-02-26,33.1,26.7,BadgerysCreek
3827,2011-02-27,27.8,26.2,BadgerysCreek
3828,2011-02-28,28.1,25.8,BadgerysCreek
3829,2011-03-01,33.7,25.3,BadgerysCreek
3830,2011-03-02,20.6,24.2,BadgerysCreek
3831,2011-03-03,31.5,24.0,BadgerysCreek
3832,2011-03-04,31.1,24.1,BadgerysCreek
3833,2011-03-05,20.4,24.1,BadgerysCreek
3834,2011-03-06,22.4,24.5,BadgerysCreek
3835,2011-03-07,25.6,24.3,BadgerysCreek
3836,2011-03-08,31.0,24.4,BadgerysCreek
3837,2011-03-09,29.1,25.1,BadgerysCreek
3838,2011-03-10,24.7,25.5,BadgerysCreek
3839,2011-03-11,27.1,25.2,BadgerysCreek
3840,2011-03-12,29.8,25.2,BadgerysCreek
3841,2011-03-13,33.8,25.1,BadgerysCreek
3842,2011-03-14,23.4,25.1,BadgerysCreek
3843,2011-03-15,25.7,24.8,BadgerysCreek
3844,2011-03-16,26.0,24.2,BadgerysCreek
3845,2011-03-17,23.8,23.7,BadgerysCreek
3846,2011-03-18,23.0,23.6,BadgerysCreek
3847,2011-03-19,20.5,23.4,BadgerysCreek
3848,2011-03-20,21.0,23.4,BadgerysCreek
3849,2011-03-21,25.6,23.4,BadgerysCreek
3850,2011-03-22,30.0,23.4,BadgerysCreek
3851,2011-03-23,29.5,23.4,BadgerysCreek
3852,2011-03-24,26.0,23.1,BadgerysCreek
3853,2011-03-25,25.9,23.1,BadgerysCreek
3854,2011-03-26,21.0,23.2,BadgerysCreek
3855,2011-03-27,20.5,23.1,BadgerysCreek
3856,2011-03-28,21.4,22.9,BadgerysCreek
3857,2011-03-29,25.7,22.8,BadgerysCreek
3858,2011-03-30,21.9,23.1,BadgerysCreek
50027,2011-11-01,13.0,16.5,Canberra
50028,2011-11-02,14.5,16.8,Canberra
50029,2011-11-03,13.6,17.5,Canberra
50030,2011-11-04,13.9,18.2,Canberra
50031,2011-11-05,14.8,18.7,Canberra
50032,2011-11-06,22.1,19.1,Canberra
50033,2011-11-07,19.6,19.5,Canberra
